text,true_label,ai_label
"Мультимиллионер из Великобритании Питер Доу предложил ночевать бездомным в мусорных баках. Он изобрел капсулу для сна из двух красных контейнеров на колесиках, которая стоит 100 фунтов стерлингов (8,2 тысячи рублей). Об этом пишет Daily Mirror. По словам Доу, баллотировавшегося в Кембридже от партии Брексита на выборах 2019 года, его изобретение может иметь мировое значение. Когда мультимиллионера спросили, а спал ли он сам в капсуле, тот ответил, что лежал в ней 10 минут. Известно, что ранее мужчина уже создал одноместный автомобиль из мусорных баков. «Я увидел по телевизору бездомных, которые жаловались, что их пинают и мочатся на них. Когда вы лежите на улице в спальном мешке, вы очень уязвимы. Я не решаю проблему бездомных, просто даю им возможность», — рассказал Доу об идее появления «мусорного дома». Мультимиллионер предположил, что его изобретение, когда человек бодрствует, может быть использовано как место для хранения одежды и других вещей. Когда мужчина принес две капсулы в кембриджский приют для бездомных, то никто не подошел воспользоваться изобретением. В сети «спальня» из мусорных баков была воспринята негативно. «Это, возможно, одно из худших и самых унизительных изобретений, которые я когда-либо видел», «Имейте в виду, что вы можете купить дешевую палатку за эти же деньги, и это действительно поможет вам переночевать на улице», — написали интернет-пользователи.",Дом,Дом
"Отдохнувшая в Сочи россиянка раскрыла схемы обмана туристов на черноморском курорте. Наблюдениями девушка поделилась в своем блоге «Нескучная жизнь» на платформе « Яндекс Дзен ». Как отметила туристка, с мошенниками на курорте можно встретиться уже при аренде жилья, оплатив его на фейковом сайте или наткнувшись на ложное объявление, — на месте окажется, что квартира не сдается, а получивший деньги человек не является ее хозяином. «Или бронируете номер по хорошей стоимости, но, когда приезжаете, оказывается, что по какой-либо причине в гостиницу заселиться нельзя. И вам предложат варианты по более высокой цене. Учитывая положение, большинство соглашаются», — написала автор блога. Также, по ее словам, местные жители обманывают туристов при продаже экскурсий. «Уличные бюро продают вам тур, скажем, по цене 700 рублей против ценника отеля 2300 рублей. Во время экскурсии вдруг выясняется, что нужно еще заплатить за вход в достопримечательность, например, на Красной Поляне это будет 1700 рублей. Вам ""забыли"" сказать об этом сразу», — отметила путешественница. Также, добавила она, во время экскурсии туристов могут завезти на обед или дегустацию с ценами «в три-четыре раза выше, чем в самом городе». Кроме того, по словам туристки, некоторые местные жители продают приезжим дешевое заводское вино, выдавая его за домашнее, и обвешивают их на рынках при покупке фруктов или овощей сетками. «Вместо озвученных 15 килограммов может быть только восемь», — отметила россиянка. Ранее крымские журналисты  раскрыли  новые схемы обмана туристов на полуострове. По их словам, мошенники создали фальшивые сайты для бронирования отелей и начали продавать российским туристам путевки в закрытые и несуществующие гостиницы.",Путешествия,Путешествия
"Пользователей сети возмутила реклама видеоигры Conflict of Nations: World War 3, которая отсылает к убийству США иранского генерала в Ираке. На произошедшее обратило внимание издание Daily Mail. Реклама стратегии появилась в  Twitter . «Иран начинает Третью мировую войну? Прямо сейчас смоделируйте в Conflict of Nations любой сценарий, какой только можете придумать!» — говорится в описании. В сообщении также используется популярный хештег про приближение войны — #WWIII: под ним в сети  делятся  впечатлениями от первых дней 2020 года. Реклама отсылает к ухудшению отношений между Ираном и США из-за американской операции, во время которой был убит генерал элитного иранского спецподразделения «Аль-Кудс»  Касем Сулеймани . Подобное использование ситуации для раскручивания Conflict of Nations пользователи сочли по меньшей мере неуместным. «Я люблю стратегии, но это невероятно безвкусная и отвратительная реклама. Позор вам», —  прокомментировал  один из юзеров. «Давайте проясним: если Третья мировая действительно случится, то ее начнут США и  Дональд Трамп , а не Иран», —  написал  другой. Он также охарактеризовал игру как «дерьмовую пропаганду». Под рекламным постом пользователи массово отметили, что пожаловались на рекламу. Conflict of Nations — бесплатная военная стратегическая игра. Ее разрабатывает гамбургская студия Dorado Games. Комментариев со стороны компании пока не поступало. Глава «Аль-Кудс» Корпуса стражей исламской революции Касем Сулеймани был убит 3 января в ходе ракетного удара США по аэропорту Багдада. Приказ об уничтожении был отдан лично американским президентом Дональдом Трампом. Глава  МИД  Ирана Мохаммад Джавад Зариф  назвал  действия США проявлением терроризма, а бывший командующий КСИР пообещал отомстить за гибель Сулеймани.",Интернет и СМИ,Интернет и СМИ
"Российская супермодель  Ирина Шейк  рассказала о расставании с американским актером  Брэдли Купером . Об этом пишет  Super.ru . По ее словам, два прекрасных человека не обязательно смогут создать хорошую пару. «Я думаю, нам очень повезло пережить то, что было между нами», — сказала Шейк. Она добавила, что является сильной личностью и некоторые мужчины боятся этого. Модель подчеркнула, что если кто-то уходит из ее жизни, то уходит окончательно. «Я действительно рву все связи. Думаю, некоторые в самом деле боятся этой холодности. Немногие знают, что под всем этим — добрый, милый человек, который плачет в интервью», — добавила Шейк. В июне прошлого года  сообщалось , что Ирина Шейк и Брэдли Купер расстались после четырех лет отношений. Отмечается, что пара согласилась оформить равноправную опеку над их двухлетней дочерью Леей де Сейн (Lea De Seine). Документ пока официально не подписан.",Ценности,Ценности
"Застрявшие в Нью-Йорке российские туристы написали открытое письмо на имя  Владимира Путина  с просьбой помочь им вернуться домой. Текст опубликовал на своей странице во  «ВКонтакте»  находящийся в США иллюзионист Илья Яничев. Как говорится в письме, в аэропорту Нью-Йорка вторые сутки находятся россияне, которые заранее приобрели билеты на самолет в Москву. Однако за несколько часов до вылета рейс был отменен без последующего перебронирования. В авиакомпании пассажирам предложили выбираться из данной ситуации самостоятельно, отказав в предоставлении ночлега и питания. «Среди пассажиров есть дети и пенсионеры. Находясь в очаге заражения вирусом COVID-19, мы подвергаемся смертельной опасности без дополнительных средств защиты. Обращаемся к вам с просьбой в кратчайшие часы решить эту проблему и дать возможность всем гражданам вернуться на территорию Российской Федерации», — говорится в тексте. Письмо адресовано президенту Владимиру Путину, премьер-министру  Михаилу Мишустину , главе  МИД   Сергею Лаврову  и министру обороны  Сергею Шойгу . Под обращением подписались 66 человек, включая самого Яничева. Ранее  сообщалось , что россиянам, которые застряли за границей и оказались в сложном финансовом положении из-за коронавируса, дадут денег. Такое распоряжение  Минфину  отдал премьер-министр России Михаил Мишустин. По данным Росавиации, большинство россиян, которых еще не успели эвакуировать на родину, находятся в Таиланде и Индонезии. Для их вывоза будут организованы специальные рейсы.",Путешествия,Путешествия
"Ведущая и бывшая участница реалити-шоу «Дом-2»  Алена Водонаева  рассказала о своем опыте общения с журналистами федеральных телеканалов. В  интервью  YouTube-каналу «А поговорить?» она назвала их проститутками и обвинила в намеренном искажении информации. Водонаева вспомнила, что после эфира на Первом канале в ее салон красоты приехали журналисты «России 1», чтобы подключить ее к прямому эфиру. «Когда меня вывели на экраны на ""Россию 1"", я не знала, что параллельно с экраном, на котором мое лицо, куча экранов, на которых мои фотографии из журнала Maxim. Они исковеркали, просто извратили весь этот эфир, перекрикивали меня, спрашивали не по делу, а спрашивали, сколько стоит пост в Instagram и кто за мной стоит», — поделилась бывшая участница реалити-шоу. Телеведущую крайне удивили обвинения в ее адрес в том, что пост с критикой материнского капитала был оплачен российским гей-сообществом, а подключения к прямом эфиру первой репликой ведущей «России 1»  Ольги Скабеевой  было: «О, вы одеты». По мнению Водонаевой, это непрофессиональное поведение. Она также заметила, что каждый день на федеральных каналах говорят о чем-то глобальном, а не о действительно важных проблемах. Водонаева призналась, что за последние две недели разочаровалась в мужчинах и журналистике. «Хоть меня [депутат  Госдумы   Виталий ] Милонов и называл проституткой, но проститутки у нас работают не на панели, проститутки у нас работают на федеральных каналах. Я не верю, что они не знают, что происходит в стране. Я не верю, что у нас люди, работающие в телике, не знают, что в регионах семьи с двумя, с тремя детьми живут на 10, на 15 тысяч рублей в месяц», — заключила ведущая. В том же интервью Водонаева  ответила  президенту России  Владимиру Путину , назвавшему моральными уродами тех, кто критикует выплаты материнского капитала. По ее мнению, комментировать ее мнение как представителя народа таким образом было некрасиво. С критикой системы выплат материнского капитала Водонаева  выступила  15 января. Она написала в Instagram, что «отчаявшиеся от нищеты россияне или быдло, которому вечно не хватает на бутылку водки», будут заводить детей не потому, что хотят стать родителями, а ради денег в качестве материнского капитала. После скандала Водонаева приняла участие в телешоу на Первом канале и «России 1», а также создала собственный YouTube-канал. За высказывание блогершу осудили ведущие Ольга Скабеева и  Владимир Соловьев , а также депутат Виталий Милонов и спикер Госдумы  Вячеслав Володин .",Интернет и СМИ,Интернет и СМИ
"Российский боец смешанного стиля (ММА)  Вячеслав Василевский  высмеял телеведущего  Владимира Соловьева  за угрозы в адрес спортивного комментатора  Василия Уткина . Соответствующий пост он опубликовал в своем  Instagram -аккаунте. «Я, честно говоря, думал, что он телеведущий, а оказалось, он боец, да еще и с такими талантами», — подписал публикацию спортсмен. Он добавил, что ему постоянно попадается «невероятно устрашающее видео» Соловьева с угрозами Уткину. Конфликт между Уткиным и Соловьевым разгорелся 12 апреля после того, как комментатор в эфире канала «Дождь» выразил возмущение тем, что вынужден оставаться дома за свой счет и продолжать вносить все коммунальные платежи. Соловьев  пригрозил  Уткину физической расправой и посоветовал оппоненту «озираться по сторонам». Комментатор ответил на угрозы и  предрек  Соловьеву инсульт. 31-летний Василевский за карьеру провел 41 бой, одержал 33 победы и потерпел восемь поражений. Он известен выступлениями в Absolute Championship Akhmat (АСА).",Спорт,Интернет и СМИ
"США грозит волна принудительных выселений арендаторов жилья. Из-за эпидемии коронавируса в стране многие съемщики столкнулись с серьезными финансовыми трудностями и риском оказаться на улице. Об этом пишет  The Washington Post . По данным Бюро переписи населения США, 60 процентов семей, проживающих в съемном жилье, за последние месяцы пережили потерю работы или серьезное падение доходов. Среди тех, кто имеет собственный дом, таких 45 процентов. В консалтинговой фирме Stout Risius Ross предупреждают, что к октябрю 2020-го крышу над головой могут потерять до 12 миллионов американских арендаторов. Введенный в стране мораторий на выселение жильцов закончился 24 июля. Кроме того, многим перестали выплачивать «коронавирусные» пособия по безработице. «Текущий кризис может усилить жилищное неравенство. Низкие ставки по ипотечным кредитам позволяют домовладельцам или тем, кто может прямо сейчас купить дом, экономить от 100 до 300 долларов в месяц на обязательных выплатах. За бортом остались те, кто арендует жилье, и безработные, которым закрыт доступ на рынок ипотеки», — заявил изданию Джефф Такер, экономист портала недвижимости Zillow. Лето 2020-го — лучшее время для покупки жилья в США и худшее для тех, кто его арендует, подчеркивают эксперты. Ранее в июле лауреат Нобелевской премии  Роберт Шиллер   предрек  США масштабный обвал цен на жилье. По его мнению, быстрое распространение COVID-19 уже побудило многих американцев к поиску лучшей жизни за пределами мегаполисов, и деурбанизация будет набирать обороты. В результате спрос на недвижимость в городах сократится, что в свою очередь спровоцирует падение ее стоимости.",Дом,Дом
"Британская модель упала со скалы в Австралии и разбилась насмерть, делая селфи. Об этом сообщает Daily Mail. Происшествие случилось в воскресенье, 12 января, в на популярном пляже Diamond Bay. В 6:30 утра по местному времени 21-летняя Мэдалин Дэвис (Madalyn Davis) из Линкольна, Англия, возвращалась с вечеринки в компании семерых друзей. Увидев начинающийся рассвет, молодые люди решили подняться на скалы, чтобы встретить его вместе. На вершине девушка захотела сфотографироваться на фоне восходящего солнца и присела на край обрыва. Внезапно она соскользнула с 30-метровой скалы, упала и погибла от сильного удара. Семья Дэвис собирается вылететь в Австралию на опознание тела. В октябре 2019 года туристка из России  насмерть  разбилась в словенских Альпах во время катания на велосипеде. Происшествие случилось на высокогорной дороге в районе перевала Мангарт. 33-летняя россиянка не справилась с управлением на крутом повороте. Женщина упала с обрыва и, несмотря на то что на ней был защитный шлем, скончалась на месте от полученных травм.",Путешествия,Из жизни
"Российская мотоблогерша Ксения Никитина разбилась в ДТП на трассе М-8 в Московской области. Об этом сообщили в группе  «Мото Ярославль»  во «ВКонтакте». Известно, что женщина попала в аварию 11 июля около 11 утра на 87 километре трассы. Ее мотоцикл врезался в трактор, в результате Никитина скончалась на месте. Друзья Ксении рассказали, что она ехала в Ярославль на встречу с другими байкерами. Никитиной было 33 года, она вела мотоблог на YouTube-канале, на который подписаны 39 тысяч человек. В июне стало известно о  смерти  18-летней российской блогерши Анастасии Тропицель. Она насмерть разбилась на Бали во время езды на мотоцикле.",Интернет и СМИ,Из жизни
"Президент  «Норникеля»   Владимир Потанин  возглавил список богатейших россиян по версии  журнала  Forbes , сменив на первой строчке совладельца  «Новатэка»   Леонида Михельсона . Состояние Потанина оценивается в 19,7 миллиарда долларов. В мировом рейтинге миллиардеров, который составляет журнал, он занимает 41-ю строчку. На втором месте среди богатейших россиян оказался главный бенефициар  НЛМК   Владимир Лисин . Его состояние составляет 18,1 миллиарда долларов, в мировом рейтинге он занимают 45-ю позицию. Прошлогодний лидер среди россиян Леонид Михельсон в 2020-м оказался на третьей строчке с личным капиталом в 17,1 миллиарда долларов, а в глобальном списке Forbes он находится на 48-м месте. В топ-10 самых богатых россиян также вошли председатель совета директоров «Северстали»  Алексей Мордашов  (16,8 миллиарда долларов), президент  «Лукойла»   Вагит Алекперов  (15,2 миллиарда), член совета директоров «Новатэка» и  «Сибура»   Геннадий Тимченко  (14,4 миллиарда), основной акционер USM Holdings  Алишер Усманов  (13,7 миллиарда), председатель наблюдательного совета  «Альфа-Групп»   Михаил Фридман  (13 миллиардов), председатель комитета по назначениям и вознаграждениям  «Еврохима»   Андрей Мельниченко  (12,5 миллиарда) и основной владелец инвестиционной компании Millhouse  Роман Абрамович  (11,3 миллиарда). Самым богатым человеком планеты  признан  основатель  Amazon   Джефф Безос . Он также является единственным бизнесменом в списке, чье состояние превышает 100 миллиардов. На втором месте мирового списка основатель  Microsoft   Билл Гейтс . Его состояние составляет 98 миллиардов долларов. Третью позицию занимает глава группы компаний Louis Vuitton Moët Hennessy  Бернар Арно  (76 миллиардов). В общей сложности в рейтинг Forbes в 2020 году вошли 2095 бизнесменов, в том числе 102 из России. Их совокупное состояние оценивается в восемь триллионов долларов.",Экономика,Экономика
"Военно-морские силы (ВМС) США разрабатывают Affordable Mobile Anti-Submarine Warfare Surveillance System (AMASS) — мобильную противолодочную разведывательную систему, пишет американское издание The Drive, обратившее внимание на соответствующий запрос Управления военно-морских исследований. Издание сообщает, что речь идет о создании системы активных гидролокаторов, которые будут прикрепляться к буям и развертываться из стандартных транспортных контейнеров. Данная система должна, в частности, усилить американскую стационарную гидроакустическую противолодочную звуковую систему наблюдений SOund SUrveillance System (SOSUS), со времен холодной войны располагающуюся на условной линии, соединяющей Гренландию и Британские острова, — Фареро-Исландском рубеже. Целью создания AMASS называется противодействие возросшей активности флотов Китая и России. В феврале вице-адмирал ВМС США  Эндрю Льюис   заявил , что Восточное побережье Соединенных Штатов и Атлантический океан больше не являются безопасными для американских подводников из-за резко возросшей в последние годы активности России. В октябре 2019 года телерадиокомпания NRK со ссылкой на данные норвежской разведки  сообщила , что в течение нескольких дней с расположенных на Кольском полуострове баз вышло не менее восьми российских атомных подводных лодок.",Наука и техника,Наука и техника
